,Unnamed: 0,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_DATECOMPLETED,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_RENTPERSQFT,PROPERTY_RENTPERSQFTALLUNITS,mean_submarket,min_submarket,max_submarket,mean_market,min_market,max_market,Censustract
1142,3986,1_386863,1,Phoenix,20,Western Suburbs,Maricopa,Christopher Todd Communities at Marley Park,,15025 West Old Oak Lane,Surprise,AZ,85379,33.606054,-112.383341,173,154150,13.36,A-,B,2019-12-03 00:00:00,90.2,1875,0.01216347713266299,2.104281543950697,1.874228236846701,1.297422349587307,2.323772704178839,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 610.37
1143,3988,1_39,1,Phoenix,7,Northwest Phoenix,Maricopa,GC Square,"Grand Canyon Square, Copper Sky/Orange Arbor",3535 West Camelback Road,Phoenix,AZ,85019,33.5087041,-112.1355934,164,71866,3.98,C+,C+,1976-12-01 00:00:00,89.6,1247,0.01735173795675285,2.845685024907467,1.860233956401655,1.14262988661364,2.971698113207547,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1092
1144,3992,1_4,1,Phoenix,16N,North Tempe,Maricopa,Riverside,"MarQ at 1st, Amber Gardens",625 West 1st Street,Tempe,AZ,85281,33.4284328,-111.9479471,164,117800,5.95,B-,B-,1985-01-01 00:00:00,97.0,1396,0.01185059422750424,1.943497453310696,2.154585565832481,1.259916348761318,3.128756683670334,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 3188
1145,3999,1_45,1,Phoenix,10,Central East Phoenix,Maricopa,Parq at East Arcadia,"Tides at East Arcadia, The, Solstice at Arcadia, Willow Tree, Solstice",5401 East Thomas Road,Phoenix,AZ,85018,33.479821,-111.964974,181,168343,5.523,B-,B,1980-05-01 00:00:00,94.5,1610,0.009563807226911723,1.731049108071022,1.840591322341589,1.350588235294118,2.402877697841727,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1112.01
1146,4002,1_476,1,Phoenix,8,Christown,Maricopa,Atwater,"Vista del Monte, Palo Verde Gardens",7750 North 12th Street,Phoenix,AZ,85020,33.5498343,-112.0577311,175,140220,7.136,C+,B,1972-09-01 00:00:00,94.3,1641,0.01170303808301241,2.048031664527171,1.789991519443935,1.126717557251908,2.363299351251158,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1063
1147,4006,1_536,1,Phoenix,18S,Superstition Springs,Maricopa,Gentrys Walk,,1313 South Val Vista Drive,Mesa,AZ,85206,33.3910081,-111.7526527,176,134640,8.871,B+,B-,1985-11-01 00:00:00,96.6,1647,0.01223262032085561,2.152941176470588,1.960195272970138,1.520823600080091,2.542910489730727,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 4225.14
1148,4010,1_563,1,Phoenix,15N,South Phoenix,Maricopa,Mountain Vista,,358 East Roeser Road,Phoenix,AZ,85040,33.400546,-112.068852,190,132472,8.15,C,C,1962-01-01 00:00:00,99.5,955,0.007209070596050486,1.369723413249592,1.727370081396351,1.068188976377953,2.509103101424979,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 1158.01
1149,4012,1_601,1,Phoenix,20,Western Suburbs,Maricopa,Edgewater,,102 South 4th Avenue,Avondale,AZ,85323,33.433548,-112.355077,196,148704,10.37,C+,C-,1985-02-01 00:00:00,94.9,1426,0.009589520120507854,1.879545943619539,1.874228236846701,1.297422349587307,2.323772704178839,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 614.01
1150,4014,1_608,1,Phoenix,16S,South Tempe,Maricopa,Omnia Baseline,"Sevilla, Casa Royal ,  Colony Grove",1145 West Baseline Road,Tempe,AZ,85283,33.376281,-111.956182,169,116349,9.089,C+,B-,1981-10-01 00:00:00,98.8,1494,0.01284067761648145,2.170074517185365,1.909345545703186,1.258124306296185,2.484134150274105,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 3200.07
1151,4017,1_637,1,Phoenix,6,Glendale,Maricopa,Walnut Grove,"Crossroads West, Laguna Gardens",5957 West Keim Drive,Glendale,AZ,85301,33.526983,-112.189177,177,142220,7.06,C,C,1962-01-01 00:00:00,98.3,1112,0.007818872169877655,1.383940374068345,1.732828227194593,1.206419073819349,2.471443132870812,1.950832251918449,0.9220696466690032,4.316079488832874,Census Tract 928.02
